id	prompt	answer	rule	lesson	tags
g0165	when?	ե՞րբ	question-words	6	question
g0166	why? (formal)	ինչո՞ւ	question-words	6	question
g0167	why? (spoken)	ինչի՞	question-words	6	question,spoken
g0168	why? (very spoken)	խի՞	question-words	6	question,spoken
g0169	where? (location, где)	որտե՞ղ	question-words	6	question
g0170	where to? (куда)	ո՞ւր	question-words	6	question
g0171	which?	ո՞ր	question-words	6	question
g0172	how?	ինչպե՞ս / ո՞նց	question-words	6	question
g0173	what kind of?	ինչպիսի՞	question-words	6	question
g0174	how many? (countable)	քանի՞	question-words	6	question
g0175	how much? (uncountable)	ինչքա՞ն	question-words	6	question
g0176	whom? whose?	ո՞ւմ	question-words	6	question
g0177	I am at home	Ես տանն եմ	to-be	6	to-be
g0178	Which city are you from?	Ո՞ր քաղաքից ես։	ablative	7	ablative,question
g0179	or (in statements)	կամ	conjunctions	7	conjunction
g0180	Monday	երկուշաբթի	dates	7	calendar
g0181	Tuesday	երեքշաբթի	dates	7	calendar
g0182	Wednesday	չորեքշաբթի	dates	7	calendar
g0183	Thursday	հինգշաբթի	dates	7	calendar
g0184	Friday	ուրբաթ	dates	7	calendar
g0185	Saturday	շաբաթ	dates	7	calendar
g0186	Sunday	կիրակի	dates	7	calendar
g0187	What day is it today?	Ի՞նչ օր է այսօր։	dates	7	calendar,question
g0188	Ո՞ւմ գիրք__ է սա (Whose book is this?)	ն	definite-article	7	article,question
g0189	Ո՞ր մեկ__ է քո տունը (Which one is your house?)	ն	definite-article	7	article,question
g0190	yours (from քո)	քոնը	definite-article	7	article
g0191	լեզու → Which language do you speak?	Ո՞ր լեզվով ես խոսում։	instrumental	7	instrumental,languages
g0192	Which street do you live on?	Ո՞ր փողոցում ես ապրում։	locative	7	locative,question
g0193	Which house is yours?	Ո՞ր տունն է քոնը։	possessive-pronouns	7	possessive,question
g0194	Which one is your house?	Ո՞ր մեկն է քո տունը։	question-words	7	question,article
g0195	Whose book is this?	Ո՞ւմ գիրքն է սա։	question-words	7	question,article
g0196	What's new?	Ի՞նչ նորություն կա։	there-is	7	there-is,question
g0197	What's up?	Ի՞նչ կա չկա։	there-is	7	there-is,question
g0198	How many sisters do you have?	Քանի՞ քույր ունես։	to-have-and-to-know	7	have,question
g0199	0	զրո	numerals	8	numeral
g0200	1	մեկ	numerals	8	numeral
g0201	2	երկու	numerals	8	numeral
g0202	3	երեք	numerals	8	numeral
g0203	4	չորս	numerals	8	numeral
g0204	5	հինգ	numerals	8	numeral
g0205	6	վեց	numerals	8	numeral
g0206	7	յոթ	numerals	8	numeral
g0207	8	ութ	numerals	8	numeral
g0208	9	ինը	numerals	8	numeral
g0209	10	տասը / տասն	numerals	8	numeral
g0210	11	տասնմեկ	numerals	8	numeral
g0211	12	տասներկու	numerals	8	numeral
g0212	20	քսան	numerals	8	numeral
g0213	21	քսանմեկ	numerals	8	numeral
g0214	30	երեսուն	numerals	8	numeral
g0215	40	քառասուն	numerals	8	numeral
g0216	50	հիսուն	numerals	8	numeral
g0217	100	հարյուր	numerals	8	numeral
g0218	1000	հազար	numerals	8	numeral
g0219	million	միլիոն	numerals	8	numeral
g0220	billion	միլիարդ	numerals	8	numeral
g0221	there is not	չկա	there-is	8	there-is,negation
g0222	there are not	չկան	there-is	8	there-is,negation
g0223	Լոնդոն → from London	Լոնդոնից	ablative	9	ablative
g0224	օգնել → pronunciation	օքնել	alphabet	9	alphabet,pronunciation
g0225	կարողանալ → I can	Ես կարող եմ	can	9	modal
g0226	կարողանալ → you (sg.) can	Դու կարող ես	can	9	modal
g0227	կարողանալ → he/she can	Նա կարող է	can	9	modal
g0228	կարողանալ → we can	Մենք կարող ենք	can	9	modal
g0229	կարողանալ → you (pl.) can	Դուք կարող եք	can	9	modal
g0230	կարողանալ → they can	Նրանք կարող են	can	9	modal
g0231	կարողանալ → I can't	Ես չեմ կարող	can	9	modal,negation
g0232	կարողանալ → he/she can't	Նա չի կարող	can	9	modal,negation
g0233	կարողանալ → they can't	Նրանք չեն կարող	can	9	modal,negation
g0234	Can you help me?	Կարո՞ղ ես օգնել ինձ։	can	9	modal,question
g0235	January	հունվար	dates	9	calendar
g0236	February	փետրվար	dates	9	calendar
g0237	March	մարտ	dates	9	calendar
g0238	April	ապրիլ	dates	9	calendar
g0239	May	մայիս	dates	9	calendar
g0240	June	հունիս	dates	9	calendar
g0241	July	հուլիս	dates	9	calendar
g0242	August	օգոստոս	dates	9	calendar
g0243	September	սեպտեմբեր	dates	9	calendar
g0244	October	հոկտեմբեր	dates	9	calendar
g0245	November	նոյեմբեր	dates	9	calendar
g0246	December	դեկտեմբեր	dates	9	calendar
g0247	What is the date today?	Այսօր ամսի քանի՞սն է։	dates	9	calendar,question
g0248	Today is the 8th of January.	Այսօր հունվարի ութն է։	dates	9	calendar
g0249	On what date?	Ամսի քանիսի՞ն։	dates	9	calendar,question
g0250	on the 8th of January	հունվարի ութին	dates	9	calendar,dative
g0251	հունվարի ութ → on the 8th of January	հունվարի ութին	dative	9	dative,dates
g0252	me (Believe ___ !)	ինձ	dative	9	dative,pronoun
g0253	I can't	չեմ կարող	negation	9	negation
g0254	What is the date today?	Այսօր ամսի քանի՞սն է։	question-words	9	question,dates
g0255	անգամ → pronunciation	անքամ	alphabet	10	alphabet,pronunciation
g0256	Երևան → in Yerevan	Երևանում	locative	10	locative,city
g0257	հարկ → on the fourth floor	չորրորդ հարկում	locative	10	locative,home
g0258	1st	առաջին	numerals	10	numeral,ordinal
g0259	2nd	երկրորդ	numerals	10	numeral,ordinal
g0260	3rd	երրորդ	numerals	10	numeral,ordinal
g0261	4th	չորրորդ	numerals	10	numeral,ordinal
g0262	5th	հինգերորդ	numerals	10	numeral,ordinal
g0263	11th	տասնմեկերորդ	numerals	10	numeral,ordinal
g0264	two times	երկու անգամ	numerals	10	numeral
g0265	for the second time	երկրորդ անգամ	numerals	10	numeral,ordinal
g0266	Փարիզ → in Paris	Փարիզում	locative	11	locative,city
g0267	խոհանոց → in the kitchen	խոհանոցում	locative	11	locative,home
g0268	how often?	ինչքա՞ն հաճախ	question-words	11	question
g0269	this month	այս ամիս	dates	12	calendar
g0270	I smoke twenty cigarettes a day. (object in focus)	Օրը քսան սիգարետ եմ ծխում։	word-order	12	word-order
g0271	կարճ → antonym	երկար	adjectives-comparison	13	adjective,antonym
g0272	բարակ → antonym	հաստ	adjectives-comparison	13	adjective,antonym
g0273	բարձր → antonym	ցածր	adjectives-comparison	13	adjective,antonym
g0274	բարձրահասակ (բոյով) → antonym	ցածրահասակ (կոլոտ)	adjectives-comparison	13	adjective,antonym
g0275	գեր (չաղ) → antonym	նիհար	adjectives-comparison	13	adjective,antonym
g0276	ուժեղ → antonym	թույլ	adjectives-comparison	13	adjective,antonym
g0277	հարուստ → antonym	աղքատ	adjectives-comparison	13	adjective,antonym
g0278	հին → antonym	նոր	adjectives-comparison	13	adjective,antonym
g0279	ծեր → antonym	երիտասարդ	adjectives-comparison	13	adjective,antonym
g0280	տխուր → antonym	ուրախ	adjectives-comparison	13	adjective,antonym
g0281	more (comparative word)	ավելի	adjectives-comparison	13	comparison
g0282	less (comparative word)	պակաս	adjectives-comparison	13	comparison
g0283	than	քան	adjectives-comparison	13	comparison
g0284	the most (prefix)	ամենա-	adjectives-comparison	13	comparison
g0285	from all (superlative word)	ամենից	adjectives-comparison	13	comparison
g0286	լավ → better	ավելի լավ	adjectives-comparison	13	comparison
g0287	լավ → less good	պակաս լավ	adjectives-comparison	13	comparison
g0288	լավ → the best	ամենալավ / լավագույն	adjectives-comparison	13	comparison
g0289	մեծ → the biggest	ամենամեծ / մեծագույն	adjectives-comparison	13	comparison
g0290	սիրուն → the prettiest	ամենասիրուն	adjectives-comparison	13	comparison
g0291	սովորական → more ordinary	ավելի սովորական	adjectives-comparison	13	comparison
g0292	She is kinder than me.	Նա ավելի բարի է, քան ես։	adjectives-comparison	13	comparison
g0293	I can meet my friends very often.	Կարող եմ հանդիպել իմ ընկերներին շատ հաճախ։	can	14	modal
g0294	that (Լավ ա, ___ լավանում ես)	որ	conjunctions	14	conjunction
g0295	or (in questions)	թե՞	conjunctions	14	conjunction,question
g0296	ընկերներ → (meet) my friends	ընկերներին	dative	14	dative,plural
g0297	the last one (վերջին)	վերջինը	definite-article	14	article
g0298	the next one (հաջորդ)	հաջորդը	definite-article	14	article
g0299	Հայաստան → in Armenia	Հայաստանում	locative	14	locative,countries
g0300	ծառ → plural	ծառեր	plural	14	plural
g0301	ծաղիկ → plural	ծաղիկներ	plural	14	plural
g0302	նկար → plural	նկարներ	plural	14	plural
g0303	հրաշք → plural	հրաշքներ	plural	14	plural
g0304	սիրտ → plural	սրտեր	plural	14	plural,vowel-drop
g0305	միրգ → plural	մրգեր	plural	14	plural,vowel-drop
g0306	տուն → plural	տներ	plural	14	plural,vowel-drop
g0307	շուն → plural	շներ	plural	14	plural,vowel-drop
g0308	երկիր → plural	երկրներ	plural	14	plural,vowel-drop
g0309	դասագիրք → plural	դասագրքեր	plural	14	plural,compound
g0310	սար → plural	սարեր	plural	14	plural
g0311	մարդ → plural	մարդիկ	plural	14	plural,irregular
g0312	տղամարդ → plural	տղամարդիկ	plural	14	plural,irregular
g0313	կին → plural	կանայք	plural	14	plural,irregular
g0314	տիկին → plural	տիկնայք	plural	14	plural,irregular
g0315	պարոն → plural	պարոնայք	plural	14	plural,irregular
g0316	ռուս → plural	ռուսներ	plural	14	plural,irregular
g0317	դուռ → plural	դռներ	plural	14	plural,irregular
g0318	ձուկ → plural	ձկներ	plural	14	plural,irregular
g0319	մուկ → plural	մկներ	plural	14	plural,irregular
g0320	գառ → plural	գառներ	plural	14	plural,irregular
g0321	լեռ → plural	լեռներ	plural	14	plural,irregular
g0322	մատ → plural	մատներ	plural	14	plural,irregular
g0323	հարս → plural	հարսներ	plural	14	plural,irregular
g0324	ծունկ → plural	ծնկներ	plural	14	plural,irregular
g0325	թոռ → plural	թոռներ	plural	14	plural,irregular
g0326	նուռ → plural	նռներ	plural	14	plural,irregular
g0327	at ten	ժամը տասին	telling-time	14	time,dative
g0328	… because there are mountains here	… որովհետև այստեղ կան սարեր	there-is	14	there-is
g0329	տուն → from home	տնից	ablative	15	ablative
g0330	բանկ → from the bank	բանկից	ablative	15	ablative
g0331	հյուրանոց → from the hotel	հյուրանոցից	ablative	15	ablative
g0332	սրճարան → from the cafe	սրճարանից	ablative	15	ablative
g0333	դեղատուն → from the pharmacy	դեղատնից	ablative	15	ablative
g0334	աշխատանք → from work	աշխատանքից	ablative	15	ablative
g0335	դաս → from class	դասից	ablative	15	ablative
g0336	հանդիպում → from a meeting	հանդիպումից	ablative	15	ablative
g0337	the day before yesterday	երեկ չէ առաջին օրը	dates	15	calendar
g0338	the day after tomorrow	վաղը չէ մյուս օրը	dates	15	calendar
g0339	աշխատանք → to work (where to?)	աշխատանքի	dative	15	dative
g0340	դաս → to class	դասի	dative	15	dative
g0341	հանդիպում → to a meeting	հանդիպման	dative	15	dative
g0342	you (sg.) — I will give ___ the book	քեզ	dative	15	dative,pronoun
g0343	with you (sg.)	քեզ հետ	postpositions	15	postposition,pronoun
g0344	for you (sg.)	քեզ համար	postpositions	15	postposition,pronoun
g0345	Where are you going?	Ո՞ւր ես գնում։	question-words	15	question
g0346	Where are you coming from?	Որտեղի՞ց ես գալիս։	question-words	15	question,ablative
g0347	an hour and a half	մի ժամ ու կես	telling-time	15	time
g0348	լավ → to get better	լավանալ	verbs-anal	15	verb,anal
g0349	վատ → to get worse	վատանալ	verbs-anal	15	verb,anal
g0350	լավանալ → It's good that you are getting better.	Լավ ա, որ լավանում ես։	verbs-anal	15	present,spoken
g0351	Where are you going?	Ո՞ւր ես գնում։	word-order	15	word-order,question
g0352	կեսօր → at noon	կեսօրին	dative	16	dative,time
g0353	this book (այս գիրք)	այս գիրքը	definite-article	16	article,demonstrative
g0354	these books (այս գրքեր)	այս գրքերը	definite-article	16	article,demonstrative
g0355	Դրանք իմ գրքեր__ են (Those are my books)	ն	definite-article	16	article
g0356	this (as a noun)	սա	demonstratives	16	demonstrative
g0357	that, it (as a noun)	դա	demonstratives	16	demonstrative
g0358	that one over there (as a noun)	նա	demonstratives	16	demonstrative
g0359	these	սրանք	demonstratives	16	demonstrative
g0360	those	դրանք	demonstratives	16	demonstrative
g0361	those over there	նրանք	demonstratives	16	demonstrative
g0362	this + noun	այս … ը/ն	demonstratives	16	demonstrative
g0363	that + noun	այդ … ը/ն	demonstratives	16	demonstrative
g0364	that (over there) + noun	այն … ը/ն	demonstratives	16	demonstrative
g0365	this book	այս գիրքը	demonstratives	16	demonstrative,article
g0366	these books	այս գրքերը	demonstratives	16	demonstrative,article
g0367	What is this? — This is a book.	Ի՞նչ է սա։ — Սա գիրք է։	demonstratives	16	demonstrative,question
g0368	What are these? — These are photographs.	Ինչե՞ր են սրանք։ — Սրանք լուսանկարներ են։	demonstratives	16	demonstrative,question
g0369	ուտել → (Why are you going?) To eat.	Ուտելու։	future-u	16	purpose
g0370	խաղալ → in order to play	խաղալու	future-u	16	purpose
g0371	How are you getting there? (by what)	Ինչո՞վ ես գնում։	instrumental	16	instrumental,question
g0372	ոտք → on foot	ոտքով	instrumental	16	instrumental,transport
g0373	մետրո → by metro	մետրոյով	instrumental	16	instrumental,transport
g0374	տաքսի → by taxi	տաքսիով	instrumental	16	instrumental,transport
g0375	ավտոբուս → by bus	ավտոբուսով	instrumental	16	instrumental,transport
g0376	ինքնաթիռ → by plane	ինքնաթիռով	instrumental	16	instrumental,transport
g0377	ավտոմեքենա → by car	ավտոմեքենայով	instrumental	16	instrumental,transport
g0378	գնացք → by train	գնացքով	instrumental	16	instrumental,transport
g0379	հեծանիվ → by bicycle	հեծանիվով	instrumental	16	instrumental,transport
g0380	գիրք → plural	գրքեր	plural	16	plural,vowel-drop
g0381	Those are my books.	Դրանք իմ գրքերն են։	possessive-pronouns	16	possessive,article
g0382	his / her (spoken)	իրա	possessive-pronouns	16	possessive,spoken
g0383	their (spoken)	իրանց	possessive-pronouns	16	possessive,spoken
g0384	with my friend	ընկերոջս հետ	postpositions	16	postposition,genitive
g0385	with my parents	իմ ծնողների հետ	postpositions	16	postposition,genitive
g0386	how? by what means? (by bus, on foot…)	ինչո՞վ	question-words	16	question,instrumental
g0387	with whom?	ո՞ւմ հետ	question-words	16	question
g0388	he/she (emphatic pronoun, also spoken)	ինքը	to-be	16	to-be,pronoun
g0389	they (spoken)	իրանք	to-be	16	to-be,pronoun,spoken
g0390	not … (but)	ոչ թե	conjunctions	17	particle,negation
g0391	here (spoken?)	այստեղ (spoken ստեղ)	demonstratives	17	demonstrative,adverb
g0392	there (spoken?)	այդտեղ (spoken ըտեղ)	demonstratives	17	demonstrative,adverb
g0393	over there (spoken?)	այնտեղ (spoken ընդեղ)	demonstratives	17	demonstrative,adverb
g0394	in this way (spoken?)	այսպես (spoken սենց)	demonstratives	17	demonstrative,adverb
g0395	in that way (spoken?)	այդպես (spoken տենց)	demonstratives	17	demonstrative,adverb
g0396	this much (spoken?)	այսքան (spoken էսքան)	demonstratives	17	demonstrative,adverb
g0397	that much (spoken?)	այդքան (spoken էդքան)	demonstratives	17	demonstrative,adverb
g0398	such, this kind of	այսպիսի	demonstratives	17	demonstrative
g0399	such (that kind, far)	այնպիսի	demonstratives	17	demonstrative
g0400	last week	անցյալ / անցած շաբաթ	dates	18	calendar
g0401	գնալ → going to go (form)	գնալու	future-u	18	future
g0402	գնել → going to buy (form)	գնելու	future-u	18	future
g0403	I was not	չէի	negation	18	negation
g0404	I was	ես էի	past-of-to-be	18	past
g0405	you (sg.) were	դու էիր	past-of-to-be	18	past
g0406	he/she was	նա էր	past-of-to-be	18	past
g0407	we were	մենք էինք	past-of-to-be	18	past
g0408	you (pl.) were	դուք էիք	past-of-to-be	18	past
g0409	they were	նրանք էին	past-of-to-be	18	past
g0410	I wasn't	ես չէի	past-of-to-be	18	past,negation
g0411	he/she wasn't	նա չէր	past-of-to-be	18	past,negation
g0412	they weren't	նրանք չէին	past-of-to-be	18	past,negation
g0413	ուտել → I was eating	Ես ուտում էի	past-of-to-be	18	imperfect
g0414	ուտել → you (sg.) were eating	Դու ուտում էիր	past-of-to-be	18	imperfect
g0415	ուտել → he/she was eating	Նա ուտում էր	past-of-to-be	18	imperfect
